Ct OIII SII NII OII Ha Hb
223 5.4975E+33 4.2325E+33 1.2581E+35 1.2325E+34 9.9710E+34 3.5863E+34
224 1.6848E+34 7.1901E+33 2.7984E+34 4.7457E+34 2.9189E+35 1.0615E+35
225 9.5161E+33 1.0319E+34 9.5490E+34 2.3605E+34 1.0082E+35 3.6089E+34
226 5.4975E+33 5.5237E+33 1.4976E+35 1.4387E+34 1.1142E+35 4.0068E+34
227 9.5161E+33 1.3750E+34 1.1543E+35 2.8384E+34 1.1276E+35 4.0370E+34
228 5.9014E+33 3.1790E+32 1.6648E+32 5.5674E+33 1.0173E+35 3.7236E+34
229 6.2515E+33 6.5207E+32 3.2465E+32 8.5272E+33 1.4489E+35 5.2914E+34
230 1.1384E+34 3.9212E+34 2.9323E+34 5.5497E+34 1.2013E+35 4.2728E+34
231 6.2568E+33 1.0304E+33 4.9263E+32 1.0956E+34 1.8076E+35 6.5928E+34
232 1.3449E+34 7.7575E+32 3.9647E+34 1.1447E+34 1.0287E+35 3.7590E+34
233 1.4158E+34 1.5776E+33 7.6830E+34 1.6869E+34 1.4846E+35 5.4126E+34
234 6.2568E+33 1.3325E+33 6.1072E+32 1.2612E+34 2.0679E+35 7.5362E+34
235 1.4164E+34 2.4318E+33 1.1287E+35 2.0879E+34 1.8627E+35 6.7818E+34
236 1.4164E+34 3.1807E+33 1.4073E+35 2.3985E+34 2.1511E+35 7.8260E+34
237 6.2568E+33 1.9225E+33 8.1014E+32 1.5339E+34 2.5296E+35 9.2057E+34
238 1.4164E+34 4.3215E+33 1.7834E+35 2.8231E+34 2.5321E+35 9.2054E+34
239 1.4164E+34 5.7242E+33 2.1831E+35 3.2796E+34 2.9297E+35 1.0643E+35
240 1.4164E+34 7.5687E+33 2.6132E+35 3.7641E+34 3.3679E+35 1.2220E+35
241 1.1133E+34 3.6036E+33 4.7302E+33 1.2241E+34 4.1651E+34 1.4827E+34
242 6.2568E+33 2.3873E+33 9.4397E+32 1.7105E+34 2.8613E+35 1.0401E+35
243 1.1382E+34 6.3650E+33 7.7427E+33 1.7187E+34 5.4114E+34 1.9255E+34
244 1.1384E+34 8.9670E+33 1.0276E+34 2.1019E+34 6.4108E+34 2.2804E+34
245 1.1384E+34 1.3725E+34 1.4343E+34 2.7427E+34 7.9187E+34 2.8164E+34
246 3.4924E+34 2.6211E+33 4.1874E+33 3.3627E+34 1.1326E+35 4.1285E+34
247 1.1384E+34 1.7793E+34 1.7428E+34 3.2584E+34 8.9627E+34 3.1879E+34
248 3.6453E+34 5.1521E+33 7.9344E+33 5.0526E+34 1.5434E+35 5.6194E+34
249 1.1384E+34 2.3730E+34 2.1457E+34 3.9850E+34 1.0174E+35 3.6198E+34
250 3.6457E+34 7.3029E+33 1.0928E+34 6.1815E+34 1.8198E+35 6.6219E+34
251 3.6457E+34 1.1178E+34 1.5580E+34 7.9339E+34 2.2496E+35 8.1799E+34
252 3.6457E+34 1.4803E+34 1.9330E+34 9.3501E+34 2.5948E+35 9.4303E+34
253 3.6457E+34 1.8774E+34 2.2918E+34 1.0701E+35 2.9277E+35 1.0633E+35
